alpha,beta,q_constant,proximity_constant,evaporation_rate,generation_count,ant_count,path_importance,score
4,3,50,50,0.8,10,2,4,1108.379900397414
4,3,50,50,0.8,10,2,7,1149.7561732839704
4,3,50,50,0.8,10,2,10,1095.7251568579961
4,3,50,50,0.7,10,2,4,1111.0536083874877
4,3,50,50,0.7,10,2,7,1096.0148253920995
4,3,50,50,0.7,10,2,10,1085.538226345894
4,3,50,50,0.6,10,2,4,1142.633383856788
4,3,50,50,0.6,10,2,7,1119.8924080473364
4,3,50,50,0.6,10,2,10,1099.54589343379
4,3,50,50,0.5,10,2,4,1132.4317912977253
4,3,50,50,0.5,10,2,7,1126.6292200049988
4,3,50,50,0.5,10,2,10,1086.092057361033
4,3,50,100,0.8,10,2,4,1120.2897580453532
4,3,50,100,0.8,10,2,7,1101.358331062946
4,3,50,100,0.8,10,2,10,1097.1855509246143
4,3,50,100,0.7,10,2,4,1128.8225763095052
4,3,50,100,0.7,10,2,7,1120.3621250795798
4,3,50,100,0.7,10,2,10,1088.5804916404813
4,3,50,100,0.6,10,2,4,1136.497299802664
4,3,50,100,0.6,10,2,7,1101.790807279002
4,3,50,100,0.6,10,2,10,1091.9064828227108
4,3,50,100,0.5,10,2,4,1115.7487118696406
4,3,50,100,0.5,10,2,7,1088.5593751114525
4,3,50,100,0.5,10,2,10,1096.7391377828824
4,3,50,200,0.8,10,2,4,1109.4798304726485
4,3,50,200,0.8,10,2,7,1107.7866180966862
4,3,50,200,0.8,10,2,10,1090.308473279072
